intervention_task_time,intervention_task_id,intervention_task_name,is_completed,participant_id,participant_started_at,invite_code,current_day_of_study,current_intervention_id,current_intervention_name
2025-06-06 06:35:18.177139Z,2e61ce01-f5c7-42fc-9978-63a3bdd0dcd4,Watch comedy movies or series!,true,7dc493ab-7317-4317-bf87-5cd33421eaa3,2025-05-21 20:00:00.000Z,,15,f4a834df-156e-4d15-92c9-fde1cefd081f,Watching comedy movies or series!
2025-06-05 06:43:08.044436Z,2e61ce01-f5c7-42fc-9978-63a3bdd0dcd4,Watch comedy movies or series!,true,7dc493ab-7317-4317-bf87-5cd33421eaa3,2025-05-21 20:00:00.000Z,,14,f4a834df-156e-4d15-92c9-fde1cefd081f,Watching comedy movies or series!
2025-06-04 05:34:58.960141Z,2e61ce01-f5c7-42fc-9978-63a3bdd0dcd4,Watch comedy movies or series!,true,7dc493ab-7317-4317-bf87-5cd33421eaa3,2025-05-21 20:00:00.000Z,,13,f4a834df-156e-4d15-92c9-fde1cefd081f,Watching comedy movies or series!
2025-06-03 11:24:47.019354Z,2e61ce01-f5c7-42fc-9978-63a3bdd0dcd4,Watch comedy movies or series!,true,7dc493ab-7317-4317-bf87-5cd33421eaa3,2025-05-21 20:00:00.000Z,,12,f4a834df-156e-4d15-92c9-fde1cefd081f,Watching comedy movies or series!
2025-06-02 07:57:17.797114Z,d5239fc5-d463-4e2c-8575-671570b78089,Avoid watching comedy movies or series!,true,7dc493ab-7317-4317-bf87-5cd33421eaa3,2025-05-21 20:00:00.000Z,,11,045a85ff-dc12-4025-87d5-5935df511320,Not watching comedy movies or series!
2025-06-01 05:33:07.936312Z,d5239fc5-d463-4e2c-8575-671570b78089,Avoid watching comedy movies or series!,true,7dc493ab-7317-4317-bf87-5cd33421eaa3,2025-05-21 20:00:00.000Z,,10,045a85ff-dc12-4025-87d5-5935df511320,Not watching comedy movies or series!
2025-05-31 04:44:31.875485Z,d5239fc5-d463-4e2c-8575-671570b78089,Avoid watching comedy movies or series!,true,7dc493ab-7317-4317-bf87-5cd33421eaa3,2025-05-21 20:00:00.000Z,,9,045a85ff-dc12-4025-87d5-5935df511320,Not watching comedy movies or series!
2025-05-30 04:57:12.034835Z,d5239fc5-d463-4e2c-8575-671570b78089,Avoid watching comedy movies or series!,true,7dc493ab-7317-4317-bf87-5cd33421eaa3,2025-05-21 20:00:00.000Z,,8,045a85ff-dc12-4025-87d5-5935df511320,Not watching comedy movies or series!
2025-05-29 08:38:42.989746Z,d5239fc5-d463-4e2c-8575-671570b78089,Avoid watching comedy movies or series!,true,7dc493ab-7317-4317-bf87-5cd33421eaa3,2025-05-21 20:00:00.000Z,,7,045a85ff-dc12-4025-87d5-5935df511320,Not watching comedy movies or series!
2025-05-28 06:30:44.989591Z,d5239fc5-d463-4e2c-8575-671570b78089,Avoid watching comedy movies or series!,true,7dc493ab-7317-4317-bf87-5cd33421eaa3,2025-05-21 20:00:00.000Z,,6,045a85ff-dc12-4025-87d5-5935df511320,Not watching comedy movies or series!
2025-05-27 07:38:48.699131Z,d5239fc5-d463-4e2c-8575-671570b78089,Avoid watching comedy movies or series!,true,7dc493ab-7317-4317-bf87-5cd33421eaa3,2025-05-21 20:00:00.000Z,,5,045a85ff-dc12-4025-87d5-5935df511320,Not watching comedy movies or series!
2025-05-26 08:20:23.543141Z,d5239fc5-d463-4e2c-8575-671570b78089,Avoid watching comedy movies or series!,true,7dc493ab-7317-4317-bf87-5cd33421eaa3,2025-05-21 20:00:00.000Z,,4,045a85ff-dc12-4025-87d5-5935df511320,Not watching comedy movies or series!
2025-05-25 10:24:59.852286Z,2e61ce01-f5c7-42fc-9978-63a3bdd0dcd4,Watch comedy movies or series!,true,7dc493ab-7317-4317-bf87-5cd33421eaa3,2025-05-21 20:00:00.000Z,,3,f4a834df-156e-4d15-92c9-fde1cefd081f,Watching comedy movies or series!
2025-05-24 08:16:28.246208Z,2e61ce01-f5c7-42fc-9978-63a3bdd0dcd4,Watch comedy movies or series!,true,7dc493ab-7317-4317-bf87-5cd33421eaa3,2025-05-21 20:00:00.000Z,,2,f4a834df-156e-4d15-92c9-fde1cefd081f,Watching comedy movies or series!
2025-05-23 05:48:10.095609Z,2e61ce01-f5c7-42fc-9978-63a3bdd0dcd4,Watch comedy movies or series!,true,7dc493ab-7317-4317-bf87-5cd33421eaa3,2025-05-21 20:00:00.000Z,,1,f4a834df-156e-4d15-92c9-fde1cefd081f,Watching comedy movies or series!
2025-05-22 07:12:31.868424Z,2e61ce01-f5c7-42fc-9978-63a3bdd0dcd4,Watch comedy movies or series!,true,7dc493ab-7317-4317-bf87-5cd33421eaa3,2025-05-21 20:00:00.000Z,,0,f4a834df-156e-4d15-92c9-fde1cefd081f,Watching comedy movies or series!
